Date,AAPL,ABBV,ABT,ADP,AEP,AMGN,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BKNG,BRK-B,BSX,CAT,CBRE,CCI,CEG,CL,CMCSA,CMG,COP,COST,CRM,CSCO,CTVA,CVX,D,DD,DE,DIS,DLR,DUK,EA,ECL,EOG,EQIX,ETN,EXC,FCX,GE,GOOG,GOOGL,GS,HD,HON,IBM,ISRG,JNJ,JPM,KMI,KO,KVUE,LIN,LLY,LOW,MA,MCD,MDLZ,META,MLM,MO,MPC,MRK,MSFT,NEE,NEM,NFLX,NOW,NVDA,O,OKE,ORCL,ORLY,PEP,PG,PGR,PLD,PLTR,PM,PSA,PSX,RTX,SBUX,SHW,SLB,SO,SPG,SPGI,SRE,T,TJX,TMO,TMUS,TSLA,UBER,UNH,UNP,V,VMC,VST,VZ,WELL,WFC,WMB,WMT,XEL,XOM,^GSPC
2023-05-01,167.6769256591797,142.53604125976562,106.76185607910156,211.6317138671875,84.7763442993164,222.32472229003903,186.4584197998047,102.0500030517578,281.49908447265625,61.80234909057617,155.37257385253906,203.8699951171875,27.468992233276367,2661.986083984375,330.1700134277344,52.79999923706055,209.90872192382812,76.4000015258789,108.3228988647461,75.62291717529297,77.06806182861328,39.19322967529297,40.78559875488281,95.62801361083984,475.8892517089844,196.38282775878903,44.572967529296875,60.02580642700195,152.07537841796875,51.53150939941406,66.7061538696289,371.3044738769531,100.96273803710938,90.42433166503906,90.45085144042967,126.01258850097656,165.25303649902344,110.55132293701172,689.8560180664062,163.3846893310547,39.63175582885742,36.56907653808594,79.905029296875,107.20223999023438,106.6899185180664,323.00628662109375,282.967041015625,191.06105041503903,115.80974578857422,303.0199890136719,153.78514099121094,134.43634033203125,15.291179656982422,60.50355911254883,24.9166202545166,362.9539489746094,399.0252990722656,200.2464141845703,375.434326171875,284.1071472167969,73.38085174560547,242.0392608642578,363.0133972167969,40.45094680786133,116.61432647705078,109.9821548461914,300.2250671386719,72.449462890625,44.163230895996094,324.1199951171875,450.4100036621094,28.89123916625977,55.63548278808594,59.12239074707031,92.4951400756836,929.5999755859376,180.17625427246097,149.0149688720703,132.2359619140625,115.10640716552734,7.78000020980835,90.0147476196289,269.7364807128906,90.81661224365234,95.5625991821289,108.54410552978516,227.3738555908203,46.92976379394531,68.20880126953125,101.66973114013672,356.68463134765625,73.29938507080078,15.523419380187988,75.87010192871094,545.4432983398438,140.04653930664062,161.8300018310547,32.7400016784668,480.4788818359375,189.78323364257812,228.61170959472656,174.77732849121094,22.697418212890625,33.7582893371582,74.10784149169922,38.002044677734375,27.669416427612305,49.12890625,65.31629180908203,106.1163558959961,4167.8701171875
2023-05-02,166.6387481689453,140.59799194335938,107.13660430908205,207.24822998046875,83.52275085449219,219.5980224609375,183.30873107910156,103.62999725341795,278.1251525878906,59.32133865356445,149.45294189453125,203.25,26.636598587036133,2686.67626953125,325.8599853515625,52.900001525878906,207.8605499267578,75.0999984741211,105.19853973388672,75.36772918701172,77.22087860107422,38.779083251953125,41.079200744628906,91.99986267089844,477.06549072265625,192.46090698242188,43.650245666503906,59.22494125366211,145.5282440185547,50.09707260131836,62.5238037109375,372.93695068359375,99.37239074707033,88.39064025878906,89.09075164794922,124.76651763916016,170.63812255859375,104.00061798095705,671.85498046875,167.71182250976562,39.07188034057617,35.56810760498047,80.1656494140625,105.48040008544922,104.81886291503906,316.1776123046875,279.7162780761719,188.9453582763672,114.95556640625,301.2200012207031,155.12933349609375,132.26556396484375,14.915608406066896,60.23067855834961,24.9166202545166,360.7410888671875,397.4422607421875,198.0825653076172,371.6489562988281,284.5749206542969,73.74195098876953,238.1177520751953,367.4402465820313,39.9429817199707,111.38639831542967,111.44744110107422,300.0776672363281,71.63818359375,45.22661209106445,317.54998779296875,443.6799926757813,28.19169044494629,54.87567138671875,56.72638702392578,92.4269027709961,936.52001953125,180.71205139160156,148.88169860839844,124.85974884033205,115.18163299560548,7.590000152587891,87.80400848388672,264.407958984375,87.42945098876953,94.1719741821289,108.44937133789062,227.3150329589844,44.09392166137695,67.34342956542969,100.37973022460938,350.1636657714844,71.77210998535156,15.141989707946776,75.79259490966797,540.789306640625,137.25950622558594,160.30999755859375,36.52000045776367,478.2398376464844,187.3372344970703,223.17442321777344,176.51023864746094,22.387422561645508,32.851318359375,73.2461166381836,36.54368591308594,26.703350067138672,48.996036529541016,64.3203125,101.88724517822266,4119.580078125
2023-05-03,165.56101989746094,138.40025329589844,107.38643646240234,206.71226501464844,83.14759063720703,213.4001007080078,179.420654296875,103.6500015258789,279.3226623535156,59.40465545654297,148.438720703125,200.92999267578125,26.352828979492188,2617.591552734375,323.2200012207031,52.689998626708984,208.3339385986328,74.08999633789062,104.61272430419922,75.09292602539062,77.61248016357422,38.487300872802734,41.16239929199219,89.62151336669922,472.48583984375,191.23968505859375,43.27362060546875,58.59987258911133,142.6093292236328,50.3045654296875,61.91808319091797,371.4016418457031,99.62921142578124,88.42796325683594,88.84429931640625,123.68856811523438,169.71775817871094,103.4508285522461,666.5617065429688,166.86964416503906,38.85159683227539,35.30572509765625,80.37098693847656,105.61973571777344,104.908447265625,311.7010498046875,278.57568359375,188.65948486328125,113.3849868774414,305.05999755859375,153.09893798828125,129.4663848876953,14.808300018310549,59.89193344116211,24.9166202545166,354.36541748046875,423.98101806640625,197.4478454589844,370.5321350097656,281.8539733886719,73.19078826904297,235.91810607910156,364.1793518066406,39.39268493652344,104.8157730102539,111.75940704345705,299.0853576660156,71.11933135986328,44.690216064453125,319.29998779296875,437.0799865722656,27.783954620361328,54.50022888183594,56.79872131347656,92.40739440917967,931.6699829101562,180.646240234375,148.69137573242188,121.68742370605467,116.76153564453124,7.559999942779541,86.85266876220703,260.25946044921875,88.55542755126953,92.5432357788086,98.50074768066406,226.9621429443359,43.22502899169922,67.50911712646484,96.38423919677734,344.2131652832031,71.5003890991211,15.1597318649292,75.40512084960938,547.3526000976562,136.81944274902344,160.61000061035156,37.84000015258789,474.41107177734375,186.6302032470703,222.19119262695312,175.87025451660156,22.290552139282227,33.12166976928711,73.4071044921875,36.36492156982422,26.393482208251953,48.81454849243164,63.76180648803711,99.87911224365234,4090.75
2023-05-04,163.91976928710938,136.64768981933594,106.52164459228516,204.63536071777344,83.6691665649414,215.8011016845703,181.6917724609375,104.0,276.64251708984375,59.11015319824219,145.12294006347656,197.0500030517578,25.52989387512207,2575.41259765625,320.0,51.939998626708984,203.25216674804688,73.66000366210938,104.3819580078125,77.13440704345703,77.16358947753906,37.85667419433594,40.67020034790039,90.8060302734375,473.7418823242187,191.0113220214844,43.02882385253906,55.55268096923828,142.05462646484375,51.03532409667969,61.59117889404297,363.0159301757813,96.26082611083984,89.4448013305664,89.55628967285156,122.6402587890625,168.75823974609375,103.72107696533205,696.8594970703125,163.05557250976562,39.06269836425781,34.22702407836914,78.4361343383789,104.71402740478516,104.1918716430664,304.6921691894531,271.60845947265625,187.0012054443359,112.57672882080078,303.2099914550781,152.4033203125,127.69549560546876,14.879837036132812,59.957801818847656,24.9166202545166,351.7332458496094,421.27691650390625,195.03396606445312,371.7379150390625,281.7966613769531,73.44737243652344,232.42459106445312,384.6636047363281,39.05403900146485,100.04492950439452,110.95586395263672,300.0776672363281,71.2325439453125,46.49702835083008,320.7799987792969,430.510009765625,27.544111251831055,55.34943008422851,56.626930236816406,92.59264373779295,933.6199951171876,181.77426147460935,148.006103515625,122.7091827392578,117.4386215209961,7.380000114440918,85.5117416381836,267.6253662109375,85.19595336914062,91.3621597290039,99.2208480834961,222.86439514160156,43.034061431884766,68.3561019897461,96.61715698242188,341.7936706542969,71.90798950195312,15.00006103515625,74.65921020507812,542.5992431640625,138.1396026611328,161.1999969482422,37.4900016784668,472.31744384765625,188.2831268310547,221.8175811767578,187.3015289306641,22.44554901123047,32.57225799560547,72.82000732421875,34.81929397583008,26.521080017089844,48.95117950439453,64.32962036132812,98.1301040649414,4061.219970703125
2023-05-05,171.61203002929688,137.26898193359375,106.90599822998048,206.23373413085935,84.28221893310547,220.11917114257812,183.88816833496097,105.66000366210938,281.993408203125,61.0438117980957,148.8677978515625,198.33999633789065,26.210941314697266,2541.513427734375,323.8800048828125,51.540000915527344,207.80258178710935,74.55000305175781,105.18077850341795,78.0177230834961,76.97254943847656,38.05432891845703,40.56420135498047,93.61341857910156,482.1666870117187,196.1842498779297,43.54667663574219,56.890716552734375,145.68284606933594,50.96315002441406,62.98530960083008,370.30364990234375,99.29336547851562,89.94855499267578,90.69731903076172,124.03469848632812,170.0408477783203,106.3860855102539,707.0447387695312,166.43191528320312,39.3288688659668,35.44178009033203,79.16268920898438,105.71428680419922,105.06768035888672,310.1550598144531,275.28692626953125,189.09783935546875,113.56867218017578,304.8800048828125,152.92030334472656,130.1899871826172,15.237529754638672,60.240089416503906,24.546112060546875,357.16326904296875,420.6575317382813,197.9287109375,380.1784057617187,283.1714782714844,73.70393371582031,231.68804931640625,392.9442138671875,39.52814102172851,101.7970962524414,111.24893188476562,305.2262268066406,71.2325439453125,45.84770584106445,322.760009765625,434.7999877929687,28.661386489868164,56.27013397216797,58.32673645019531,94.5425796508789,940.780029296875,182.61083984375,148.5010223388672,126.03722381591795,119.66740417480467,7.409999847412109,86.58087158203125,272.7972412109375,86.23886108398438,91.99079895019533,101.580078125,226.2954864501953,43.683345794677734,68.99131774902344,98.1401138305664,348.3637390136719,72.57791137695312,15.19521141052246,76.04447937011719,543.3350830078125,140.38880920410156,170.05999755859375,37.75,479.1024475097656,192.2673797607422,227.8939514160156,190.59011840820312,22.687732696533203,32.99085998535156,74.58131408691406,35.97614288330078,27.5053653717041,49.37409591674805,64.75779724121094,100.57318115234376,4136.25
2023-05-08,171.54283142089844,136.7311248779297,106.56007385253906,205.07565307617188,84.30967712402344,218.34169006347656,180.57960510253903,105.83000183105467,280.92889404296875,60.94111251831055,149.24813842773438,197.2599945068359,26.19202423095703,2610.92431640625,326.1400146484375,53.119998931884766,207.51272583007812,73.13999938964844,103.29021453857422,77.2521743774414,77.12537384033203,38.204925537109375,40.65679931640625,94.10772705078124,482.1666870117187,196.49203491210935,43.63140869140625,56.24611282348633,145.10997009277344,50.972171783447266,62.2738151550293,369.4874267578125,101.71346282958984,90.83478546142578,90.27742004394533,124.37091827392578,169.2184295654297,106.56312561035156,707.1593627929688,165.29348754882812,39.25544357299805,35.52924346923828,79.69972229003906,107.729736328125,107.2572021484375,309.67138671875,273.68060302734375,187.6968994140625,113.33905792236328,303.0899963378906,152.572509765625,130.50416564941406,15.112335205078123,60.145992279052734,24.55537986755371,356.4808349609375,425.4854431152344,196.23611450195312,381.01849365234375,283.25738525390625,74.22660827636719,232.17576599121097,391.6595764160156,39.460418701171875,103.52069091796876,111.91065979003906,303.26116943359375,71.75139617919922,45.44305038452149,331.2099914550781,438.989990234375,29.132076263427734,56.10029983520508,57.4316291809082,94.3670883178711,946.6400146484376,181.74606323242188,147.80624389648438,130.4843292236328,119.7802505493164,7.739999771118164,86.58087158203125,274.11553955078125,86.71878814697266,91.0001983642578,101.5421905517578,226.3837127685547,44.50449752807617,68.65068054199219,96.75154876708984,349.3374938964844,72.58259582519531,15.186342239379885,75.90885925292969,539.5562744140625,140.9951171875,171.7899932861328,38.83000183105469,477.4934387207031,191.0348968505859,228.33639526367188,189.8614959716797,22.64897918701172,32.99085998535156,72.28024291992188,36.393367767333984,26.94031143188477,49.68315505981445,64.52509307861328,100.9710922241211,4138.1201171875
2023-05-09,169.83233642578125,136.1562042236328,105.93551635742188,204.49183654785156,84.11576843261719,218.1648712158203,180.8693389892578,106.62000274658205,266.06414794921875,59.919071197509766,149.57972717285156,201.8800048828125,26.16364860534668,2606.413818359375,324.8699951171875,53.09000015258789,206.2567901611328,73.37999725341797,103.8937759399414,77.48773956298828,77.02030944824219,37.29192733764648,40.6531982421875,94.69530487060548,483.838134765625,199.7487030029297,43.75381851196289,55.767547607421875,144.691650390625,50.972171783447266,61.7930908203125,370.6437683105469,100.93310546875,90.12579345703124,89.50153350830078,124.0248031616211,169.2379913330078,106.01334381103516,695.8276977539062,165.9453887939453,39.11777114868164,35.62641906738281,79.76288604736328,107.43116760253906,106.83920288085938,308.0210876464844,276.19940185546875,187.86846923828125,112.80838775634766,301.54998779296875,151.3881072998047,129.87579345703125,15.067626953125,59.64728164672851,24.34233856201172,355.5351867675781,421.2179870605469,199.1885681152344,378.47845458984375,283.228759765625,74.01752471923828,232.2752685546875,393.9619445800781,39.31649398803711,105.64424896240234,111.01258087158205,301.63995361328125,71.29859161376953,45.31131362915039,332.1400146484375,441.3900146484375,28.55245590209961,55.61759185791016,57.739036560058594,93.73336791992188,953.4600219726562,182.4886016845703,146.29298400878906,132.05101013183594,118.41665649414062,9.550000190734863,86.66240692138672,275.9132080078125,86.73725128173828,91.69551849365234,101.10633087158205,224.83485412597656,45.03920364379883,68.76117706298828,95.39881896972656,349.4259948730469,72.9480209350586,15.09763526916504,76.13166046142578,531.680419921875,138.8926239013672,169.14999389648438,38.189998626708984,475.3222351074219,191.65589904785156,229.34913635253903,190.13719177246097,23.83083724975586,32.76411056518555,74.16465759277344,36.54507827758789,26.840059280395508,49.76773834228515,64.32962036132812,100.99885559082033,4119.169921875
2023-05-10,171.60211181640625,135.77597045898438,106.3582992553711,205.78387451171875,84.68824005126953,217.86708068847656,183.523681640625,110.19000244140624,267.0240783691406,60.67083358764648,144.9961700439453,200.83999633789065,25.842041015625,2617.304443359375,322.989990234375,53.220001220703125,205.9476318359375,73.80999755859375,105.58021545410156,77.98338317871094,77.45966339111328,37.517826080322266,41.0968017578125,93.70667266845705,482.7463684082031,203.39260864257812,43.97978973388672,56.226585388183594,142.84576416015625,50.83684539794922,61.66809844970703,369.6235046386719,99.90579986572266,92.23411560058594,90.49649047851562,123.3621826171875,171.27455139160156,104.51311492919922,716.8765869140625,164.5442657470703,39.39311599731445,35.218265533447266,78.60987854003906,111.75070190429688,111.21827697753906,305.91558837890625,274.7261047363281,188.0685882568359,113.59973907470705,302.5899963378906,151.95211791992188,129.94244384765625,15.013973236083984,59.750789642333984,24.31454849243164,359.6296691894531,428.6319580078125,196.49575805664065,378.0831298828125,283.1428527832031,74.01752471923828,231.9866485595703,396.1754150390625,38.893184661865234,106.38699340820312,111.4569091796875,306.85723876953125,72.53436279296875,44.991355895996094,335.4200134277344,454.1400146484375,28.866256713867188,55.75167465209961,57.151336669921875,95.0788116455078,954.77001953125,182.61083984375,146.5975341796875,130.7665252685547,120.44793701171876,9.9399995803833,86.1640853881836,276.57696533203125,86.96798706054688,91.7240982055664,101.35269165039062,225.4720458984375,43.78837203979492,69.6541748046875,95.43463897705078,356.2223205566406,72.89179229736328,15.11537742614746,75.86217498779297,530.52685546875,138.8926239013672,168.5399932861328,38.790000915527344,475.0217590332031,190.1940765380859,227.3924865722656,193.07131958007812,24.43145179748535,32.816444396972656,75.16840362548828,36.29853820800781,26.575759887695312,49.62784576416016,64.5064697265625,99.70328521728516,4137.64013671875
2023-05-11,171.79002380371094,135.9336395263672,105.74334716796876,200.80702209472656,83.72796630859375,216.17333984375,182.89747619628903,112.18000030517578,262.8421630859375,60.806453704833984,144.32325744628906,201.83999633789065,25.90825462341309,2627.849365234375,322.6400146484375,53.38999938964844,202.91400146484375,73.63999938964844,103.57423400878906,77.93116760253906,77.96587371826172,37.99785614013672,41.16999816894531,93.16571044921876,484.9008483886719,202.0224151611328,43.6596565246582,55.50385284423828,142.05462646484375,50.03392028808594,61.398895263671875,362.2385864257813,91.1835479736328,91.20793914794922,89.754150390625,123.93578338623048,170.57937622070312,102.99424743652344,710.3316650390625,163.97021484375,38.9892692565918,33.566192626953125,78.58617401123047,116.34891510009766,116.0153350830078,304.1800231933594,273.45245361328125,185.8363800048828,112.55702209472656,303.4700012207031,151.33169555664062,129.53302001953125,14.933491706848145,60.08953857421875,24.08298110961914,357.81646728515625,428.2680969238281,195.5148162841797,378.9232177734375,281.44342041015625,74.46417236328125,234.6839141845703,395.8196411132813,38.66460037231445,104.8443374633789,111.12602996826172,304.6956481933594,71.78911590576172,43.17513656616211,344.760009765625,452.5700073242187,28.55945205688477,55.24215316772461,56.80775833129883,95.00082397460938,958.260009765625,183.6166076660156,146.94017028808594,130.33834838867188,118.24738311767578,9.880000114440918,86.10972595214844,271.958251953125,86.20195007324219,91.0001983642578,100.58139038085938,225.64849853515625,42.14607620239258,68.7243423461914,95.18379974365234,354.3634338378906,71.90328979492188,15.04441261291504,75.94000244140625,526.8374633789062,139.5478057861328,172.0800018310547,38.41999816894531,473.751953125,189.2577209472656,227.5796661376953,191.83070373535156,23.869583129882812,32.79027557373047,74.95062255859375,36.345947265625,26.42993927001953,49.813289642333984,63.873497009277344,97.89875030517578,4130.6201171875
2023-05-12,170.85931396484375,136.4529266357422,106.1661148071289,203.61129760742188,84.63285827636719,216.7875518798828,187.19676208496097,110.26000213623048,264.2203063964844,61.14358901977539,144.2647247314453,200.6999969482422,25.62448501586914,2602.367919921875,322.489990234375,53.34000015258789,202.44061279296875,73.0999984741211,103.57423400878906,78.65020751953125,78.30016326904297,37.847259521484375,40.912601470947266,92.73667907714844,487.0070495605469,200.37423706054688,43.97978973388672,55.689422607421875,142.41835021972656,49.79033279418945,61.31236267089844,363.3948974609375,90.8674545288086,90.5829086303711,89.86481475830078,124.0841293334961,170.5500030517578,102.8917465209961,706.30908203125,164.028564453125,38.64677429199219,34.00350570678711,78.02548217773438,117.36410522460938,116.95086669921876,303.0229187011719,276.0948791503906,185.49148559570312,114.36315155029295,305.2699890136719,151.13429260253906,127.67646026611328,15.022913932800291,60.32477188110352,24.546112060546875,361.0237426757813,428.2779235839844,195.4763336181641,377.4703674316406,282.73236083984375,74.00802612304688,232.71322631835935,397.7959289550781,38.66460037231445,104.63482666015624,110.73841857910156,303.5755920410156,73.54375457763672,43.23160171508789,339.8900146484375,455.2000122070313,28.321603775024418,55.44775390625,57.612457275390625,95.40055084228516,962.0999755859376,184.34982299804688,148.4344024658203,129.84207153320312,117.71134948730467,9.5,86.18221282958984,272.8709716796875,86.03582000732422,91.42881774902344,101.04798889160156,222.95262145996097,42.07924270629883,68.166748046875,95.2733917236328,353.4290771484375,71.81427001953125,15.106508255004885,76.8447494506836,521.7261962890625,140.9364471435547,167.97999572753906,38.45000076293945,476.1461486816406,190.1271820068359,227.94419860839844,192.37225341796875,23.753339767456055,32.78155517578125,75.0926742553711,35.5494384765625,26.68512535095215,49.79701614379883,64.12482452392578,97.88949584960938,4124.080078125
