Unnamed: 0,Rank,Company,Symbol,Weight,Price,Change,% Change,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
167,168,"Workday, Inc. Class A",WDAY,0.0011,259.18,1.2,(0.47%),"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",2024-12-23,1327811,2005
168,169,"Airbnb, Inc. Class A",ABNB,0.0011,127.04,0.65,(0.51%),Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008
169,170,Copart Inc,CPRT,0.0011,61.52,-0.26,(-0.42%),Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982
170,171,Freeport-Mcmoran Inc.,FCX,0.0011,37.86,0.38,(1.01%),Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2011-07-01,831259,1912
171,172,The Allstate Corporation,ALL,0.0011,202.64,0.02,(0.01%),Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931
172,173,"Digital Realty Trust, Inc.",DLR,0.0011,166.57,-0.13,(-0.08%),Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004
173,174,Aflac Inc.,AFL,0.0011,105.97,-0.33,(-0.31%),Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
174,175,"Kinder Morgan, Inc.",KMI,0.0011,27.31,0.27,(1.00%),Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997
175,176,Truist Financial Corporation,TFC,0.0011,39.01,-0.55,(-1.39%),Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",1997-12-04,92230,1872
176,177,Fair Isaac Corporation,FICO,0.0011,2088.22,-17.54,(-0.83%),Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-03-20,814547,1956
177,178,"Oneok, Inc.",OKE,0.0011,82.3,0.05,(0.06%),Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906
178,179,Norfolk Southern Corp.,NSC,0.0011,223.5,-0.57,(-0.25%),Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,702165,1881/1894 (1980)
179,180,Republic Services Inc.,RSG,0.0011,248.58,-0.75,(-0.30%),Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391,1998 (1981)
180,181,"Simon Property Group, Inc.",SPG,0.001,163.19,0.18,(0.11%),Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003
181,182,"Axon Enterprise, Inc.",AXON,0.001,684.59,-2.24,(-0.33%),Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993
182,183,Realty Income Corporation,O,0.001,56.69,0.44,(0.78%),Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728,1969
183,184,"Cencora, Inc.",COR,0.001,283.0,-0.77,(-0.27%),Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985
184,185,Fedex Corporation,FDX,0.001,217.83,-1.38,(-0.63%),FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971
185,186,"American International Group, Inc.",AIG,0.001,82.41,0.59,(0.72%),American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272,1919
186,187,Paychex Inc,PAYX,0.001,151.65,0.32,(0.21%),Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998-10-01,723531,1971
187,188,Discover Financial Services,DFS,0.001,190.07,-1.96,(-1.02%),Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,1985
188,189,"Becton, Dickinson and Co.",BDX,0.001,167.22,-0.73,(-0.43%),Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
189,190,"Quanta Services, Inc.",PWR,0.001,325.89,-0.36,(-0.11%),Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915,1997
190,191,Schlumberger Limited,SLB,0.001,34.55,0.23,(0.67%),Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,87347,1926
191,192,Paccar Inc,PCAR,0.001,90.66,-0.9,(-0.98%),Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,75362,1905
192,193,Sempra,SRE,0.001,75.42,-0.35,(-0.46%),Sempra,Utilities,Multi-Utilities,"San Diego, California",2017-03-17,1032208,1998
193,194,Vistra Corp.,VST,0.001,135.75,-5.16,(-3.66%),Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",2024-05-08,1692819,2016
194,195,Nxp Semiconductors N.v.,NXPI,0.001,191.88,3.31,(1.76%),NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447,1953
195,196,The Kroger Co.,KR,0.001,71.87,0.06,(0.08%),Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883
196,197,Public Storage,PSA,0.001,304.07,3.37,(1.12%),Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005-08-19,1393311,1972
197,198,Marathon Petroleum Corporation,MPC,0.001,150.89,0.92,(0.61%),Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887)
198,199,Ross Stores Inc,ROST,0.001,142.28,-1.09,(-0.76%),Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,745732,1982
199,200,General Motors Company,GM,0.001,47.5,0.15,(0.32%),General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908
200,201,"Ameriprise Financial, Inc.",AMP,0.001,492.18,3.18,(0.65%),Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894
201,202,"W.W. Grainger, Inc.",GWW,0.001,1037.06,-8.83,(-0.84%),W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,277135,1927
202,203,Keurig Dr Pepper Inc.,KDP,0.001,33.54,-0.6,(-1.76%),Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135,1981
203,204,"Dominion Energy, Inc",D,0.001,55.09,0.09,(0.16%),Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,715957,1983
204,205,Kenvue Inc.,KVUE,0.001,24.44,0.38,(1.58%),Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-08-25,1944048,2022 (Johnson & Johnson spinoff)
205,206,"Corteva, Inc.",CTVA,0.001,67.79,0.93,(1.39%),Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019
206,207,Fastenal Co,FAST,0.0009,78.6,-0.69,(-0.87%),Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,815556,1967
207,208,Te Connectivity Plc,TEL,0.0009,152.88,0.76,(0.50%),TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",2011-10-17,1385157,2007
208,209,Exelon Corporation,EXC,0.0009,45.21,0.11,(0.24%),Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
209,210,Phillips 66,PSX,0.0009,110.92,1.73,(1.58%),Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,2012 (1917)
210,211,"Metlife, Inc.",MET,0.0009,77.85,0.26,(0.34%),MetLife,Financials,Life & Health Insurance,"New York City, New York",2000-12-11,1099219,1868
211,212,Crown Castle Inc.,CCI,0.0009,105.0,1.72,(1.67%),Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470,1994
212,213,Target Corporation,TGT,0.0009,96.4,-0.53,(-0.55%),Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,27419,1902
213,214,Kimberly-Clark Corp.,KMB,0.0009,133.05,-0.49,(-0.37%),Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872
214,215,Edwards Lifesciences Corp,EW,0.0009,73.68,-0.95,(-1.27%),Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958
215,216,"United Rentals, Inc.",URI,0.0009,672.4,2.4,(0.36%),United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,1997
216,217,"Verisk Analytics, Inc.",VRSK,0.0009,309.5,1.65,(0.54%),Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
217,218,"Msci, Inc.",MSCI,0.0009,556.56,-1.42,(-0.25%),MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198,1969
218,219,Monster Beverage Corporation,MNST,0.0009,61.0,0.86,(1.43%),Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,865752,2012 (1935)
219,220,Cummins Inc.,CMI,0.0009,306.71,0.3,(0.10%),Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172,1919
220,221,"Yum! Brands, Inc.",YUM,0.0009,147.13,-0.85,(-0.57%),Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,1997
221,222,"Fidelity National Information Services, Inc.",FIS,0.0009,78.34,0.42,(0.54%),Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968
222,223,"L3harris Technologies, Inc.",LHX,0.0009,219.39,1.0,(0.46%),L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,"2019 (L3 1997, Harris 1895)"
223,224,"Xcel Energy, Inc.",XEL,0.0008,70.61,0.44,(0.63%),Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,72903,1909
224,225,Idexx Laboratories Inc,IDXX,0.0008,491.7,1.72,(0.35%),Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983
225,226,Ford Motor Company,F,0.0008,10.43,0.15,(1.46%),Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903
226,227,"Ametek, Inc.",AME,0.0008,171.75,0.18,(0.10%),Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930
227,228,Public Service Enterprise Group Incorporated,PEG,0.0008,78.94,-0.54,(-0.68%),Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784,1903
228,229,Cognizant Technology Solutions,CTSH,0.0008,79.17,-0.04,(-0.05%),Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994
229,230,Charter Comm Inc Del Cl a,CHTR,0.0008,401.73,-2.68,(-0.66%),Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993
